Sensor ID,Sensor Name,Sensor Description,Status,Upload Date,Year Installed,Location Type,Geometry,Latitude,Longitude,Avg Traffic
35,SouthB_T,Southbank,Installed,19/07/2018 02:09:17 PM +0000,2016,Outdoor,"(-37.8201782771032, 144.9650887736164)",-37.82017828,144.9650888,530
25,MCEC_T,Melbourne Convention Exhibition Centre,Installed,19/07/2018 02:09:17 PM +0000,2013,Outdoor,"(-37.82401775913522, 144.9560442639193)",-37.82401776,144.9560443,779
14,SanBri_T,Sandridge Bridge,Installed,19/07/2018 02:09:17 PM +0000,2009,Outdoor,"(-37.820112416694684, 144.96291897545976)",-37.82011242,144.962919,351
43,UM2_T,Monash Rd-Swanston St (West),Installed,19/07/2018 02:09:17 PM +0000,2015,Outdoor,"(-37.798445252496805, 144.96411782227088)",-37.79844525,144.9641178,465
31,Lyg161_T,Lygon St (West),Installed,19/07/2018 02:09:17 PM +0000,2014,Outdoor,"(-37.80169680465345, 144.9665891148945)",-37.8016968,144.9665891,302
7,Fed_T,Birrarung Marr,Installed,19/07/2018 02:09:17 PM +0000,2009,Outdoor,"(-37.81832375065886, 144.971414820121)",-37.81832375,144.9714148,1087
52,Eli263_T,Elizabeth St-Lonsdale St (South),Installed,19/07/2018 02:09:17 PM +0000,2017,Outdoor,"(-37.8125215691035, 144.9619401018736)",-37.81252157,144.9619401,385
4,Swa123_T,Town Hall (West),Installed,19/07/2018 02:09:17 PM +0000,2009,Outdoor,"(-37.81487987595026, 144.96608780143728)",-37.81487988,144.9660878,1271
20,LtB170_T,Chinatown-Lt Bourke St (South),Installed,19/07/2018 02:09:17 PM +0000,2013,Outdoor,"(-37.811729134669015, 144.96824660144173)",-37.81172913,144.9682466,452
47,Eli250_T,Melbourne Central-Elizabeth St (East)Melbourne Central-Elizabeth St (East),Installed,19/07/2018 02:09:17 PM +0000,2017,Outdoor,"(-37.81160331158479, 144.9622007746282)",-37.81160331,144.9622008,416
29,AG_T,St Kilda Rd-Alexandra Gardens,Installed,19/07/2018 02:09:17 PM +0000,2014,Outdoor,"(-37.81965808382299, 144.9686345331367)",-37.81965808,144.9686345,656
16,Col270_T,Australia on Collins,Installed,19/07/2018 02:09:17 PM +0000,2009,Outdoor,"(-37.81573422527523, 144.9652104385594)",-37.81573423,144.9652104,467
36,Que85_T,Queen St (West),Installed,19/07/2018 02:09:17 PM +0000,2015,Outdoor,"(-37.81652526826779, 144.96121062534334)",-37.81652527,144.9612106,494
8,WebBN_T,Webb Bridge,Installed,19/07/2018 02:09:17 PM +0000,2009,Outdoor,"(-37.82293542637416, 144.94717510695298)",-37.82293543,144.9471751,947
23,Col623_T,Spencer St-Collins St (South),Installed,19/07/2018 02:09:17 PM +0000,2013,Outdoor,"(-37.819092559395756, 144.95452749017616)",-37.81909256,144.9545275,742
